ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
176,set004-2-20-2020-B3_176.txt,T1,B-3,B,3,04,0.6374543959983036,968.8000000000002,82.30730000000001,73.31999999999971,545.3099999999995,0.41272776071332734,2347.3099999999995,1.3658695652172832
48,set007-2-25-2020-A4_48.txt,T1,A-4,A,4,07,0.5596582121982433,954.4299999999967,28.901799999999984,120.50999999999839,462.619999999999,0.49709895833333156,1920.0,1.2319607843088043
113,set010-2-28-2020-A4_113.txt,T1,A-4,A,4,10,0.4888947214654405,70.0,25.760299999999987,0,27.19000000000051,0.02907181985439169,2407.8300000000017,1.2566
54,set010-2-28-2020-A4_54.txt,T1,A-4,A,4,10,0.6636475339475003,36.030000000000655,21.99049999999999,0,24.829999999999927,0.016835583217685374,2140.1100000000006,1.3368085106401604
123,set011-3-03-2020-A4_123.txt,T2,A-4,A,4,11,0.48757464555955454,81.99000000000036,16.335799999999995,0,38.76000000000022,0.0339319044327923,2416.31,1.2822448979591599
18,set011-3-03-2020-B2_18.txt,T2,B-2,B,2,11,0.6497383899992377,436.1800000000003,35.184799999999996,74.69000000000051,341.8100000000004,0.19888651276041802,2193.1099999999997,1.3962222222227865
187,set011-3-03-2020-B2_187.txt,T2,B-2,B,2,11,0.5874732888810467,106.55999999999995,30.158399999999983,0,59.01000000000022,0.046464778598992715,2293.35,1.3962222222227865
22,set013-3-05-2020-A1_22.txt,T2,A-1,A,1,13,0.5257834515981037,1064.08,22.61879999999999,0,1006.5699999999997,0.4776735813398095,2227.63,1.231960784313198
419,set013-3-05-2020-A1_419.txt,T2,A-1,A,1,13,0.38993613597062243,1732.5599999999986,16.964099999999995,106.55999999999949,1427.7400000000007,0.7934165876712137,2183.669999999999,0.7953164556953235
153,set013-3-05-2020-A4_153.txt,T2,A-4,A,4,13,0.7282262509838469,952.1399999999994,86.70539999999998,63.4300000000003,379.6199999999999,0.4357321007711139,2185.1499999999996,1.3962222222227865
41,set013-3-05-2020-A4_41.txt,T2,A-4,A,4,13,0.5005393791362028,411.7499999999991,38.32630000000001,66.96999999999935,281.0699999999997,0.18480783127392805,2227.9900000000007,1.3368085106375736
211,set015-3-09-2020-A1_211.txt,T2,A-1,A,1,15,0.5857687224862387,1283.090000000001,18.220699999999994,275.6400000000003,997.0200000000004,0.546695980809463,2346.989999999999,1.3368085106375736
31,set015-3-09-2020-A1_31.txt,T2,A-1,A,1,15,0.5767748206775092,344.91999999999825,170.26929999999945,64.93000000000029,190.60999999999876,0.16178008752221973,2132.0300000000007,1.3089583333345238
335,set015-3-09-2020-A1_335.txt,T2,A-1,A,1,15,0.5313093374815452,1258.069999999998,29.530099999999983,104.21999999999935,790.0200000000004,0.588336801739658,2138.3500000000004,1.3962222222199647
395,set015-3-09-2020-A1_395.txt,T2,A-1,A,1,15,0.6709785810648498,1130.29,25.760299999999987,269.3599999999997,807.8999999999996,0.49857743391132897,2267.0299999999997,1.3658695652172832
108,set016-3-10-2020-B3_108.txt,T2,B-3,B,3,16,0.5439625434910275,46.10999999999876,18.848999999999993,0,31.399999999999636,0.02078946775175218,2217.9500000000007,1.3658695652145827
